paises,peliculas
United States,2058
India,893
United Kingdom,206
Canada,122
Spain,97
Egypt,92
Nigeria,86
Indonesia,77
Turkey,76
Japan,76
France,75
Philippines,73
Mexico,70
"United Kingdom, United States",63
"United States, Canada",51
Brazil,50
Hong Kong,50
Germany,47
South Korea,41
Australia,39
Argentina,38
"United States, United Kingdom",38
Thailand,37
Italy,32
"Canada, United States",32
China,28
South Africa,24
"France, Belgium",24
Poland,18
"United States, Germany",17
"Hong Kong, China",16
Malaysia,16
Netherlands,15
Pakistan,14
"United States, France",14
Taiwan,13
Colombia,13
"China, Hong Kong",13
United Arab Emirates,13
"Germany, United States",12
Chile,11
"United States, Mexico",11
"Australia, United States",10
"United States, Australia",10
New Zealand,10
Lebanon,9
"India, United States",9
"Japan, United States",9
"United States, China",8
"United States, India",8
"Mexico, United States",7
Vietnam,7
"Argentina, Spain",7
Ireland,7
"United States, Japan",6
Singapore,6
Norway,6
Romania,6
"United Kingdom, Canada, United States",6
"France, United States",6
"Spain, France",5
"United Kingdom, France",5
Saudi Arabia,5
Austria,5
Israel,5
"India, France",5
"Italy, France",5
Sweden,5
Denmark,5
"United States, Italy",4
Peru,4
Kuwait,4
Hungary,4
"United States, Bulgaria",4
"Hong Kong, United States",4
"United States, United Kingdom, France",4
"South Africa, United States",4
"United States, Spain",4
"United Kingdom, France, United States",4
"Canada, United States, United Kingdom",4
"United Kingdom, United States, Australia",3
"Sweden, United States",3
"United States, Hong Kong",3
"United States, Russia",3
Ghana,3
"Belgium, France",3
"United Kingdom, Japan, United States",3
Uruguay,3
"United States, South Africa",3
"South Korea, United States",3
"Bulgaria, United States",3
"Spain, Germany",3
"United States, United Arab Emirates",3
"Spain, Argentina",3
"China, Canada, United States",3
"United Kingdom, Germany",3
"Mexico, Spain",3
Kenya,3
"France, Egypt",3
"United States, United Kingdom, Australia",3
"Italy, United States",3
"Israel, United States",3
"United States, Germany, Canada",3
Bangladesh,3
"India, Germany",2
"United States, Czech Republic",2
"United States, China, Hong Kong",2
"New Zealand, United States",2
"Lebanon, Canada, France",2
"United States, Chile",2
"United States, Argentina",2
"United Kingdom, United States, France",2
"Serbia, United States",2
"United Kingdom, Italy",2
"India, Soviet Union",2
"Netherlands, Belgium",2
"China, United States",2
"Brazil, France",2
"United Kingdom, India, United States",2
"United Kingdom, United States, Spain, Germany, Greece, Canada",2
"Egypt, France",2
"United Kingdom, France, Germany, United States",2
"United States, Greece",2
Iceland,2
"United Kingdom, Germany, United States",2
"United Kingdom, Ireland",2
"United Kingdom,",2
"Ireland, United Kingdom",2
"Indonesia, Singapore",2
"United Kingdom, India",2
"United States, Thailand",2
"Germany, United Kingdom",2
"United States, France, Japan",2
"United States, Nigeria",2
"Canada, India",2
"Portugal, Spain",2
"United States, Sweden",2
"United States, New Zealand",2
"United Kingdom, Belgium",2
"China, Taiwan",2
"Pakistan, United States",2
"Poland, United States",2
"United States, South Korea",2
"Hong Kong, China, United States",2
"Australia, United Arab Emirates",2
"United States, United Kingdom, Canada",2
"United Kingdom, Canada",2
"Spain, Mexico",2
"France, Canada",2
"Norway, Iceland, United States",2
"United Arab Emirates, United States",2
"Thailand, United States",2
"Canada, South Africa",2
"Argentina, Chile",2
"United States, Ireland",2
"India, United Kingdom",2
"Turkey, United States",2
"United States, United Kingdom, Germany",2
"United Kingdom, Nigeria",2
