countries,years,counts
Argentina,2021,1
Australia,2021,5
Belgium,2021,2
Brazil,2021,1
Canada,2021,3
Colombia,2021,1
Egypt,2021,1
France,2021,2
Germany,2021,4
Iceland,2021,1
India,2021,9
Israel,2021,2
Italy,2021,2
Japan,2021,10
Jordan,2021,1
Mexico,2021,6
Nigeria,2021,2
Poland,2021,2
South Africa,2021,1
South Korea,2021,13
Spain,2021,9
Sweden,2021,1
Thailand,2021,2
Turkey,2021,3
United Arab Emirates,2021,1
United Kingdom,2021,16
United States,2021,89
Argentina,2020,5
Australia,2020,4
Brazil,2020,11
Canada,2020,10
China,2020,6
Colombia,2020,4
Denmark,2020,1
Egypt,2020,2
France,2020,8
Germany,2020,9
Iceland,2020,1
India,2020,16
Indonesia,2020,1
Israel,2020,1
Italy,2020,6
Japan,2020,13
Lebanon,2020,1
Mexico,2020,8
Netherlands,2020,2
Norway,2020,3
Philippines,2020,1
Poland,2020,1
Russia,2020,1
Saudi Arabia,2020,1
South Africa,2020,3
South Korea,2020,24
Spain,2020,10
Sweden,2020,2
Taiwan,2020,3
Thailand,2020,3
Turkey,2020,3
United Kingdom,2020,25
United States,2020,159
Argentina,2019,5
Australia,2019,7
Belgium,2019,2
Brazil,2019,7
Canada,2019,5
China,2019,12
Colombia,2019,5
Egypt,2019,1
France,2019,11
Germany,2019,3
Hong Kong,2019,1
India,2019,13
Italy,2019,1
Japan,2019,18
Jordan,2019,1
Kuwait,2019,2
Lebanon,2019,2
Luxembourg,2019,1
Mexico,2019,9
Netherlands,2019,1
New Zealand,2019,1
Poland,2019,1
Russia,2019,2
Senegal,2019,1
South Africa,2019,1
South Korea,2019,19
Spain,2019,10
Sweden,2019,2
Taiwan,2019,5
Thailand,2019,7
Turkey,2019,1
United Kingdom,2019,19
United States,2019,134
Argentina,2018,2
Australia,2018,8
Belgium,2018,1
Brazil,2018,5
Canada,2018,9
China,2018,6
Colombia,2018,3
Croatia,2018,1
Denmark,2018,3
Egypt,2018,6
Finland,2018,1
France,2018,11
Germany,2018,2
Hong Kong,2018,1
India,2018,13
Ireland,2018,2
Israel,2018,1
Japan,2018,30
Lebanon,2018,2
Mexico,2018,4
New Zealand,2018,1
Nigeria,2018,2
Russia,2018,2
South Korea,2018,17
Spain,2018,8
Taiwan,2018,4
Thailand,2018,4
Turkey,2018,3
United Kingdom,2018,29
United States,2018,110
Argentina,2017,2
Australia,2017,5
Belgium,2017,3
Brazil,2017,1
Canada,2017,4
China,2017,4
Colombia,2017,1
Cyprus,2017,1
Egypt,2017,2
France,2017,6
Germany,2017,1
Hong Kong,2017,1
India,2017,3
Israel,2017,2
Italy,2017,1
Japan,2017,19
Lebanon,2017,1
Malaysia,2017,3
Mexico,2017,2
Netherlands,2017,1
Nigeria,2017,2
Pakistan,2017,1
Philippines,2017,1
Russia,2017,3
South Africa,2017,1
South Korea,2017,23
